articleTitle,articleLink,discussionResult,discussionResultDate,totalUser,totalPosts,totalWords,totalChars,keepVote,deleteVote,otherVotesCount,generalNotabilityCount,eventNotabilityCount,orgNotabilityCount,otherNotabilityCount,revClosestDate,revClosestID,revEditSize,revPageTitle
Attempted assassination of Donald Trump (2nd nomination),/wiki/Wikipedia:Articles_for_deletion/Attempted_assassination_of_Donald_Trump_(2nd_nomination),keep,2020-01-05 19:28:00,51,42,4527,26670,15,5,20,1,0,0,10,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
World Sousveillance Day (2nd nomination),/wiki/Wikipedia:Articles_for_deletion/World_Sousveillance_Day_(2nd_nomination),delete,2020-01-05 19:16:00,6,1,23,153,0,1,0,1,0,0,10,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
2002 Tour,/wiki/Wikipedia:Articles_for_deletion/2002_Tour,delete,2020-01-06 01:25:00,10,4,174,1032,0,3,1,1,0,0,4,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Socialism is the life of our people,/wiki/Wikipedia:Articles_for_deletion/Socialism_is_the_life_of_our_people,delete,2020-01-04 16:31:00,7,3,174,997,0,2,0,1,0,0,4,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
2020 New Taipei helicopter crash,/wiki/Wikipedia:Articles_for_deletion/2020_New_Taipei_helicopter_crash,keep,2020-01-03 03:22:00,32,24,875,5288,17,1,6,1,2,0,4,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Baja Rally,/wiki/Wikipedia:Articles_for_deletion/Baja_Rally,delete,2020-01-02 00:43:00,11,7,280,1674,0,2,5,0,0,0,4,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Ferrari 70th Anniversary,/wiki/Wikipedia:Articles_for_deletion/Ferrari_70th_Anniversary,redirect,2019-12-31 03:12:00,6,3,78,506,0,3,0,0,0,0,1,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Michael 50,/wiki/Wikipedia:Articles_for_deletion/Michael_50,merge,2019-12-31 07:57:00,5,2,65,414,0,0,2,0,0,0,1,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Technex,/wiki/Wikipedia:Articles_for_deletion/Technex,delete,2019-12-29 16:26:00,9,5,126,840,0,4,1,1,0,0,2,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Tathva,/wiki/Wikipedia:Articles_for_deletion/Tathva,delete,2019-12-28 14:11:00,9,5,334,2249,1,2,2,2,0,0,1,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
Thomasian Welcome Walk,/wiki/Wikipedia:Articles_for_deletion/Thomasian_Welcome_Walk,redirect,2019-12-28 20:39:00,10,7,247,1521,1,1,5,2,0,0,0,2019-11-27 13:06:44,928198342,1,Wikipedia:Notability_(events)
